@relation camel-0-train4

@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute buggy_RA numeric

@data
7,19,66,5.39252,1569,411,74.33,0,4,3.28,1.14,80,78.84,114,1
1,1,2,0.696212,10,6,79.5,0,2,0,3.5,81,79.84,11,-1
1,1,1,0,3,3,99,0,3,0.92,7,82,80.82,12,-1
1,1,1,0,103,0,0,0,0,0,0,83,81.8,58,1
3,6,17,3.11415,806,162,122.88,0,3,1.28,1.82,86,84.79,75,-1
0,0,0,0,0,0,0,0,0,0,0,42,41.34,0,-1
1,2,5,1.65276,32,10,87.8,0,1,2.2,1,90,88.76,8,-1
1,2,7,2.45375,131,143,89.29,0,3,1.73,2.14,44,43.32,25,-1
1,1,3,1.42921,56,5,206.33,0,2,0.01,5.33,92,90.52,34,-1
2,14,29,3.73935,1664,63,53.41,0,2,1.79,1.21,94,92.3,65,1
1,3,6,2.18164,332,43,54.33,0,1,1.58,0.67,100,98.21,7,1
1,2,8,2.7479,111,88,97.25,0,1,0.73,0.63,102,100.09,9,-1
1,1,1,0,1,0,33,0,1,0.75,3,103,101.09,67,-1
1,1,1,0,1,1,25,0,1,8.69,3,105,103.09,36,-1
1,1,1,0,26,9,108,0,1,0.03,2,107,105.08,11,-1
1,1,1,0,9,9,125,0,1,0,3,108,106.08,12,-1
1,1,4,1.9656,9,6,68.25,0,1,0.8,0.75,110,107.99,69,-1
1,2,5,2.02665,157,13,62.2,0,1,0.58,0.4,48,46.94,27,-1
2,5,7,2.43298,249,3,89.29,0,2,2.5,2.86,112,109.2,76,-1
10,21,34,4.1623,365,189,113.26,0,4,5.11,2.32,115,111.89,168,1
1,1,1,0,31,6,158,0,1,0.02,2,116,112.89,2,-1
1,4,8,2.11719,286,15,89.5,0,1,0.07,0.75,122,118.82,6,-1
6,19,29,3.89136,358,520,81.1,0,4,3.23,2.17,124,120.55,163,1
1,1,1,0,2,0,317,0,2,0.01,20,126,122.53,79,-1
1,1,1,0,7,8,117,0,1,8.06,1,130,126.52,16,-1
2,3,5,1.8472,19,20,142.4,0,2,0.7,4.8,50,48.33,28,-1
1,5,5,0.831323,594,24,104,0,2,1.61,4,133,129.16,83,1
1,1,1,0,3,3,528,0,1,0,1,134,130.16,84,1
1,1,1,0,21,4,139,0,1,2.22,4,138,134.16,17,-1
1,1,1,0,0,521,521,0,1,7.11,1,141,137.16,85,-1
1,3,4,1.91461,357,0,0,0,0,0,0,144,136.35,0,-1
1,1,1,0,39,2,140,0,1,0.15,6,146,138.3,20,-1
1,1,1,0,1,1,294,0,1,1.12,4,148,139.95,22,-1
1,1,1,0,1,0,512,0,3,0.01,25,150,141.89,19,-1
1,1,1,0,1,0,132,0,2,0.61,2,152,143.65,11,-1
1,1,1,0,1,1,126,0,2,13.38,24,153,144.63,41,-1
1,4,13,3.31401,563,84,68.46,0,2,8.31,3.15,156,147.48,89,-1
1,2,2,0.658191,117,24,12,0,1,0.02,0.5,157,148.46,90,-1
1,3,3,0.546123,173,3,53,0,1,9.53,1.67,158,149.39,91,-1
1,7,17,2.35029,702,20,42.35,0,2,4.19,1.06,162,153.19,13,1
1,1,1,0,0,8,506,0,3,0.97,28,164,155.16,22,-1
1,3,3,0.394684,93,3,133.67,0,2,5.04,12.33,54,50.41,31,-1
1,2,2,0.954434,10,14,81,0,2,15.2,9.5,57,53.37,34,-1
2,4,5,1.6498,45,39,125.4,0,2,9.25,8.4,59,55.37,48,1
1,4,8,2.51424,312,21,75.13,0,2,0.46,4.88,172,162.78,99,1
1,3,3,0.957166,90,2,170.67,0,2,7.98,5.67,177,167.75,104,-1
0,0,0,0,0,0,0,0,0,0,0,65,61.25,0,-1
1,3,3,1.55343,21,16,188.33,0,1,0.26,4.67,181,171.38,108,-1
1,2,7,2.66422,600,0,0,0,0,0,0,12,11.04,0,1
1,1,1,0,0,27,94,0,1,0.58,1,183,172.04,0,-1
2,3,4,1.53064,14,2,250,0,3,5.33,8.25,186,175.02,31,-1
1,2,5,1.99393,275,12,162,0,2,1.63,8.8,189,177.93,111,-1
1,1,1,0,5,0,208,0,2,0.03,12,191,179.89,113,-1
1,1,1,0,20,1,443,0,2,0.92,34,197,185.44,118,-1
4,8,11,2.8153,246,129,188.45,0,2,3.6,6.27,67,62.45,66,-1
11,33,61,4.43724,602,502,134.72,0,4,12.01,2.67,68,63.29,76,1
1,1,6,2.45915,9,15,69,0,2,26.47,5.17,199,186.55,44,-1
1,1,1,0,38,0,43,0,1,30.62,2,13,11.85,7,1
1,1,1,0,8,1,61,0,1,0.01,1,203,189.16,19,-1
1,5,6,2.54822,179,40,66,0,2,4.63,2.67,204,190.14,20,1
1,1,1,0,15,2,140,0,2,0.02,6,205,191.13,21,-1
1,2,2,0.787127,16,1,60.5,0,2,38.44,2,206,192.13,22,-1
1,2,2,0.087281,91,0,0,0,0,0,0,15,13.84,2,-1
1,1,2,0.650022,13,5,76.5,0,2,3.46,1.5,16,14.84,3,-1
1,4,7,1.88081,144,6,67.57,0,1,2.53,0.14,208,194.05,1,-1
3,4,10,2.77699,226,80,77,0,3,6.44,1.9,210,196.01,141,1
1,1,1,0,1,1,128,0,2,26.05,3,211,196.98,123,-1
1,2,5,1.90805,134,38,100.6,0,1,1.91,0.4,212,197.98,2,1
1,1,6,2.44071,493,0,0,0,0,0,0,17,15.81,8,-1
1,4,9,2.8987,0,651,72.33,0,3,2.25,0.89,214,199.66,3,-1
2,3,4,1.65166,11,12,255.75,0,3,6.15,9.25,215,200.66,36,-1
4,7,9,3.07908,11,14,113.67,0,2,11.67,2.78,216,201.65,190,-1
1,3,3,0.468248,59,2,28,0,1,0.24,0.67,218,203.62,4,-1
1,1,1,0,5,0,332,0,1,7.13,3,219,204.57,5,-1
1,1,1,0,6,22,253,0,1,0,2,224,209.56,129,1
1,1,2,0.991319,146,0,0,0,0,0,0,75,69.48,19,-1
1,2,2,0.952266,42,1,99,0,2,0.04,8.5,229,214.47,133,-1
1,1,1,0,36,7,119,0,2,0.6,12,27,25.75,3,-1
1,1,1,0,46,24,63,0,2,0.71,3,28,26.74,2,-1
1,1,5,2.02924,147,1,7.4,0,2,0.18,0.6,76,70.31,46,-1
1,1,1,0,1,1,296,0,2,2.12,19,236,220.91,136,-1
2,5,9,2.59313,200,32,86.67,0,3,3.12,3.78,243,226.96,171,1
2,7,10,3.19851,362,34,94.6,0,2,2.11,2.5,245,228.88,40,1
1,2,2,0.974025,68,6,162.5,0,2,0.58,9.5,247,230.84,33,-1
1,1,2,0.999526,78,0,0,0,0,0,0,251,234.79,143,-1
1,1,1,0,2,2,574,0,3,0.02,42,77,70.93,6,-1
2,4,10,2.96694,820,0,27.8,0,2,1.03,1.4,252,235.66,179,1
8,12,31,4.54015,87,108,113.23,0,3,5.1,2.32,253,236.38,295,-1
1,1,1,0,32,72,134,0,2,9.05,27,257,237.13,48,-1
2,3,4,1.53064,14,2,268.25,0,3,10.31,12,266,243.29,46,-1
1,1,6,2.30362,390,0,0,0,0,0,0,31,28.72,14,1
1,1,1,0,24,1,596,0,3,2.11,47,269,244.99,37,-1
2,2,2,0.983939,94,0,0,0,0,0,0,276,251.93,2,-1
1,1,1,0,40,0,0,0,0,0,0,279,254.93,1,-1
1,1,1,0,1,1,606,0,3,0.8,50,282,257.41,40,-1
1,4,4,1.95915,8,4,107.5,0,2,0.99,4.75,283,258.3,3,-1
1,3,3,1.15678,73,7,61.33,0,3,15.49,4,285,258.38,153,-1
1,3,4,1.68795,156,48,82.5,0,2,2.97,1.25,286,259.37,4,1
1,1,1,0,4,1,90,0,1,0.14,1,288,260.8,6,-1
1,1,1,0,2,0,80,0,1,0,1,290,262.79,8,-1
4,11,20,3.35063,837,10,67.85,0,3,5.21,3.3,294,266.05,220,1
1,1,1,0,4,1,89,0,2,0,19,299,269.91,158,-1
2,12,19,3.64378,680,98,129.58,0,3,12.53,6.32,300,270.7,173,1
1,3,5,1.79368,106,8,212.8,0,2,14.23,10.6,304,266.42,163,1
2,3,3,0.524686,152,104,325.33,0,2,26.86,3.33,306,268.35,180,1
2,7,17,3.19639,35,118,113.82,0,2,25.17,1.35,310,269.49,185,-1
4,21,42,4.68464,4494,0,0,0,0,0,0,84,71.17,51,-1
3,3,5,1.4841,428,18,15.4,0,2,5.21,0.8,86,73.15,54,-1
1,1,1,0,2,1,686,0,3,0.68,57,313,271.48,46,-1
1,2,3,0.773228,52,26,176.33,0,1,8.07,5,90,76.78,0,-1
2,6,8,2.0437,1520,0,0,0,0,0,0,0,0,0,-1
1,1,2,0.512709,34,1,39,0,3,2.29,3,322,279.03,6,-1
1,2,2,0.961237,9,4,188.5,0,3,27.76,12,327,281.52,27,-1
1,2,2,1,64,2,42.5,0,1,3.89,1,91,76.55,3,-1
1,1,1,0,7,7,65,0,1,36.09,4,332,284.22,30,-1
1,2,2,0.881291,7,3,86.5,0,2,2.7,2,333,283.42,31,1
1,1,1,0,1,1,375,0,1,0.29,4,334,284.41,6,-1
1,2,2,0.315997,31,4,257,0,2,0.68,3.5,6,5.91,4,-1
1,1,1,0,1,1,30,0,1,5.7,2,340,289.81,8,-1
1,1,1,0,1,1,402,0,2,0.26,6,8,7.91,6,-1
1,1,1,0,29,17,616,0,2,1.04,5,9,8.9,7,-1
1,2,3,1.45358,102,30,56.33,0,2,0.48,2,343,292.6,39,-1
1,2,2,0.721928,8,2,279.5,0,2,0.72,5,10,9.89,8,-1
1,5,7,2.58217,364,41,48.57,0,4,17.6,3,345,293.85,40,-1
1,1,1,0,6,0,109,0,3,0.01,11,346,294.85,41,-1
1,1,1,0,2,1,428,0,2,2.8,2,11,10.85,9,-1
1,2,2,0.151469,11,631,518,0,2,1.54,6,12,11.85,10,-1
1,1,1,0,2,0,756,0,3,2.85,64,347,295.22,53,-1
1,1,2,1,21,5,137,0,4,0.94,7.5,348,296.2,42,-1
1,5,9,1.9867,281,6,49.67,0,4,0.26,2,353,300.55,44,-1
1,5,8,2.56417,201,21,32.38,0,3,32.56,4.5,355,302.44,175,1
1,1,1,0,1,1,31,0,1,0,1,356,303.44,176,-1
2,3,3,0.214513,77,64,164.67,0,3,8.82,7.67,358,303.53,224,-1
1,1,1,0,32,0,0,0,0,0,0,361,306.47,49,-1
1,1,1,0,9,9,193,0,3,6.25,13,363,308.36,181,1
1,5,13,3.47099,846,119,60.85,0,2,3.73,3.46,364,308.69,182,1
1,1,1,0,2,2,59,0,1,0.01,2,366,310.68,184,-1
1,2,2,0.976021,17,5,227.5,0,2,13.04,5,17,16.6,15,-1
2,2,3,1.52193,5,5,435.33,0,3,32.66,24.33,96,79.03,21,-1
1,1,2,0.497836,247,0,0,0,0,0,0,378,319.25,191,1
1,1,1,0,5,1,93,0,1,6.76,1,382,322.4,193,1
3,22,41,4.42318,292,234,71.8,0,3,13.62,2.46,383,323.38,267,-1
3,8,16,3.66277,605,22,75.5,0,3,0.5,5.13,386,325.57,318,-1
1,2,8,2.90431,287,0,0.38,0,1,0,0.13,391,330.44,69,-1
1,4,25,3.60264,59,59,43.08,0,1,0.02,0.24,392,331.44,70,-1
2,7,16,3.3339,414,8,32.19,0,2,0.35,1.19,393,332.4,268,-1
2,12,14,3.11215,189,47,95.71,0,2,7.88,5.57,397,336.15,275,-1
1,4,17,3.62271,0,666,39.18,0,1,0.59,0.65,400,338.89,77,-1
1,4,7,2.60047,324,0,0,0,0,0,0,402,340.02,79,-1
1,4,4,1.77326,149,15,36,0,2,27.21,1,405,334.34,205,1
2,3,4,1.64928,52,25,36,0,1,14.29,1.5,406,335.33,288,1
2,5,5,1.93638,31,22,129,0,2,12.48,7,408,336.5,292,-1
2,7,9,2.50613,185,3,126.67,0,2,3.33,8.78,411,338.85,297,-1
1,1,1,0,0,2,159,0,2,14.53,10,413,340.84,88,-1
2,10,15,3.47231,139,44,91.53,0,3,21.69,4.07,415,342.72,302,1
1,1,1,0,1,1,82,0,1,0,8,420,347.15,95,-1
1,1,1,0,9,2,260,0,1,24.28,4,423,349.87,97,-1
2,6,7,2.62393,240,20,72.71,0,2,24.82,3.14,424,350.87,314,1
1,1,5,1.50786,11,21,66.8,0,1,0.07,0.2,430,356.34,15,-1
1,1,1,0,0,6,59,0,1,0.08,1,431,357.33,16,-1
1,1,1,0,68,7,73,0,1,0.92,1,433,359.13,101,1
1,1,1,0,4,0,84,0,1,15.3,1,438,364.05,104,-1
4,7,8,2.23776,52,15,198.88,0,4,9.95,11.88,439,365.05,407,-1
2,6,49,4.00705,286,1347,105.18,0,2,52.13,2.2,440,365.6,329,-1
1,8,8,2.40084,353,0,4.88,0,2,0.2,0.75,442,367.05,19,-1
2,10,21,2.5225,780,515,140.24,0,2,17.15,4.57,447,370.64,336,1
2,5,23,3.57226,34,1502,115,0,2,16.02,3.13,449,372.59,339,-1
2,16,27,4.2734,929,111,52.07,0,3,9.4,1.15,453,374.71,345,1
1,1,1,0,0,25,25,0,1,1.57,1,459,379.36,118,-1
2,16,35,4.41285,579,286,103.89,0,2,6.28,2.11,461,381.03,358,1
1,1,3,1.57328,277,0,0,0,0,0,0,462,382.03,121,-1
1,4,7,2.62906,348,0,0,0,0,0,0,463,383.02,122,1
1,2,2,0.970951,8,2,73,0,1,0.15,0.5,468,385.59,124,-1
1,2,2,0.900485,56,23,39,0,1,0.09,1,470,387.43,125,1
0,0,0,0,0,0,0,0,0,0,0,98,75.5,0,-1
1,3,5,1.80735,14,14,102.8,0,2,2.99,3.6,99,76.49,11,-1
1,1,1,0,1,0,48,0,2,4.03,8,475,391.84,247,-1
2,15,24,3.87533,420,300,63.71,0,2,0.48,0.63,480,396.76,377,1
1,3,13,3.40726,1,1057,88.62,0,1,30.02,0.31,487,403.52,131,-1
1,3,3,0.47029,201,120,233.33,0,3,0.01,3.67,488,404.52,253,-1
1,1,1,0,15,12,32,0,1,131.25,4,109,86.29,59,-1
1,2,2,0.704577,45,2,25.5,0,3,0.36,1.5,490,405.86,254,-1
1,1,1,0,1,1,35,0,2,0.67,5,492,407.73,255,-1
3,4,5,1.77095,1,9,136.2,0,2,7.61,5.6,497,412.66,167,-1
1,1,1,0,0,9,1027,0,3,0.82,82,503,418.6,67,-1
1,1,1,0,1,1,264,0,1,0.84,1,110,87.13,3,-1
1,1,1,0,3,21,91,0,3,33.9,8,509,423.8,24,-1
1,1,2,0.866726,42,10,165.5,0,3,1.97,6,513,427.64,264,-1
1,1,1,0,13,1,132,0,2,1.85,4,515,429.64,140,-1
1,1,2,0.997503,33,1,7,0,1,2.48,0.5,111,87.92,15,-1
1,5,15,3.46687,624,52,41.87,1,3,0.58,1.33,516,430.09,265,1
1,4,5,1.84694,177,6,48.8,1,3,0.01,3.4,520,433.86,144,1
1,1,2,0.191433,18,16,23,0,2,0.62,1,521,434.86,145,-1
1,2,1,0,0,0,18,0,1,58.01,3,522,435.83,146,-1
1,1,1,0,28,1,40,0,2,12.71,7,523,436.72,28,-1
1,1,1,0,1,1,44,0,1,0.03,1,527,440.66,150,-1
1,1,2,0.991076,13,5,73,0,2,0.02,2.5,528,441.65,151,-1
1,1,2,0.859408,181,24,143.5,0,1,1.44,0.5,114,90.73,4,-1
1,1,1,0,12,1,287,0,2,0.01,29,533,443.83,154,-1
3,7,14,3.09968,1498,0,0,0,0,0,0,115,91.18,31,-1
0,0,0,0,0,0,0,0,0,0,0,116,92.18,0,-1
1,2,2,0.721928,2,8,51,0,2,4.63,2.5,535,445.57,29,-1
1,1,1,0,2,3,58,0,2,0,5,536,446.57,30,-1
1,1,1,0,1,1,57,0,2,0,6,537,447.57,31,-1
1,1,1,0,152,71,127,0,2,6,12,539,449.54,272,-1
1,3,3,1.26867,111,32,126,0,3,2.13,3.67,543,451.91,275,1
1,1,1,0,13,4,364,0,2,7.82,3,545,453.64,277,-1
1,1,1,0,16,9,297,0,1,4.78,2,118,93.76,6,-1
2,4,5,1.49256,358,2,202,0,3,1.21,16.8,119,94.76,34,-1
3,4,5,1.98128,235,78,306.2,0,4,5.91,4.4,547,455.59,452,-1
1,2,2,0.904381,95,55,116.5,0,1,0.02,0.5,120,95.75,19,-1
2,5,8,2.81803,15,9,143.63,0,2,1.95,7.88,548,456.56,437,1
1,1,1,0,6,0,124,0,2,21.34,19,122,97.7,21,-1
1,2,2,0.314356,560,4,79,0,3,4.68,5,124,99.61,11,-1
1,1,1,0,1,1,773,0,3,0.05,7,553,460.86,22,-1
1,1,1,0,5,2,340,0,2,0.75,7,555,462.79,159,1
1,2,4,1.04552,257,6,311.75,0,3,0.18,2.75,560,467.59,26,1
1,4,5,1.70253,68,1308,313.6,0,3,0.09,5.8,127,102.53,14,-1
1,1,1,0,12,1,219,0,2,0.01,4,564,471.5,29,-1
1,2,2,0.558629,83,9,137,0,3,0.03,5.5,128,103.52,15,-1
1,1,1,0,3,1,315,0,3,0.01,9,567,474.47,283,-1
1,1,1,0,1,1,292,0,2,0.01,6,129,104.52,16,-1
1,2,1,0,0,0,31,0,1,0.04,1,569,476.4,285,-1
1,1,1,0,4,5,126,0,2,38.91,4,578,484.81,166,-1
1,3,11,3.19964,376,16,45.45,0,2,1.17,1.18,585,490.59,294,-1
2,6,13,3.54653,414,14,11.38,0,2,1.69,0.23,588,493.17,467,-1
1,1,1,0,28,9,80,0,2,11.49,2,589,493.53,297,-1
2,5,14,3.69453,558,126,27.64,0,2,2.48,0.71,593,497.13,473,1
4,9,17,3.44238,553,7,136.29,0,3,5.05,7.53,597,500.22,568,1
1,1,1,0,1,1,141,0,2,2.36,7,599,501.86,305,1
1,2,4,1.70816,305,3,34.5,0,1,1.26,0.5,600,502.84,306,1
1,4,4,1.89106,6,3,44.5,1,2,72.72,3,601,503.8,177,-1
1,1,1,0,1,1,1015,0,3,2.26,86,134,108.11,17,-1
1,2,2,0.13403,60,47,103.5,0,2,15.68,4.5,603,502.5,178,1
1,1,1,0,169,141,1032,0,3,0.92,88,605,503.59,71,-1
2,2,2,0.515947,77,1,53.5,0,2,7.83,5,606,504.59,487,-1
1,1,1,0,17,15,77,0,2,17.53,13,610,507.47,309,-1
2,2,2,0.721928,4,16,595,0,3,1.5,45,611,508.36,75,-1
1,1,3,1.46788,78,67,96.67,0,2,20.71,3.67,616,509.75,313,1
1,8,16,3.53274,598,44,96.94,0,3,10.42,5.81,136,108.63,62,1
1,1,1,0,8,8,90,0,2,20.94,12,139,111.59,24,-1
1,1,1,0,1,1,323,0,3,21.55,14,620,512.76,315,1
1,3,5,1.87677,206,10,80.2,0,3,0.26,5.8,621,513.75,316,-1
3,5,5,1.85279,64,10,344.4,0,3,5.95,21.4,141,113.14,109,1
1,2,3,1.51759,325,0,0,0,0,0,0,142,113.89,27,1
1,4,4,1.51505,170,0,10,0,2,14.91,0.5,636,521.58,5,-1
4,12,21,3.3386,241,85,170.52,0,4,10.84,9.14,639,524.47,616,1
1,2,2,0.503258,9,9,216.5,0,3,0,15.5,640,525.47,325,-1
1,3,4,1.95071,50,0,268,0,3,0.19,13.25,4,3.37,2,-1
1,2,2,0.970504,263,0,80,0,2,9.47,5,643,528.2,328,-1
2,24,40,4.66721,294,181,137.78,0,3,13.34,3.95,645,529.35,528,1
1,1,1,0,7,0,251,0,3,2.06,17,646,529.14,331,-1
3,14,37,4.081,204,71,123.49,0,4,24.25,2.73,650,532.82,569,-1
1,1,1,0,9,0,51,0,1,8.46,1,145,115.3,28,-1
1,1,1,0,6,1,19,0,1,85.44,1,652,534.17,37,-1
4,14,19,3.58378,771,76,102.26,0,3,7.12,4.84,653,534.68,612,1
1,6,8,2.45994,516,0,0,0,0,0,0,655,536.36,203,-1
2,3,4,1.61433,24,2,423.25,0,3,1.79,26,656,537.35,99,-1
2,8,14,3.35421,840,0,15,0,2,0.23,1.64,657,538.35,542,-1
1,1,1,0,1,1,82,0,1,0.4,1,658,538.86,205,-1
3,8,10,2.58115,627,6,62.6,0,2,2.65,3.9,659,539.77,399,1
1,2,4,1.53293,89,25,271.75,0,3,13.18,11.75,660,537.2,206,-1
2,6,11,2.83898,551,56,118.18,0,3,7.14,4.45,662,539.17,548,1
1,1,1,0,0,2,96,0,2,26.82,5,667,542.75,37,-1
1,1,1,0,22,0,1074,0,3,4.68,98,6,5.29,1,-1
1,6,6,2.46782,41,11,87.17,0,2,20.18,3,672,545.29,39,-1
1,1,1,0,1,1,69,0,3,0.06,20,676,549.2,217,-1
1,1,1,0,4,0,68,0,2,37.7,2,677,550.19,346,-1
2,3,3,1.5494,33,27,145,0,3,1.94,7.33,680,552.18,565,1
1,5,19,2.71605,137,350,179.79,0,3,24.13,3,7,6.21,3,1
1,1,1,0,1,1,183,0,1,2.38,5,8,7.21,0,-1
1,1,1,0,8,0,194,0,3,0.09,16,9,8.21,4,-1
1,1,1,0,2,9,265,0,1,5.38,1,150,117.52,32,-1
1,1,1,0,5,3,1113,0,3,0.36,103,152,119.51,22,-1
1,6,9,2.68339,770,61,216.67,0,4,4.25,6.33,153,120.29,68,1
1,2,7,2.29516,588,328,80.43,0,3,8.17,2.29,692,559.05,349,1
1,1,1,0,11,0,882,0,3,0.84,21,12,11.16,7,-1
3,7,9,2.48564,83,33,222.22,0,3,22.94,17.78,13,12.15,13,-1
1,2,7,2.49084,357,18,31,0,2,11.86,2.57,695,560.93,226,1
1,1,1,0,4,0,109,0,1,0.1,1,18,17.12,7,-1
1,3,5,1.7975,18,55,77.6,0,2,18.61,7.6,161,127.43,69,1
2,2,2,0.996792,6,9,712.5,0,3,6.49,57,697,555.12,308,-1
1,2,2,0.934068,14,6,144,0,2,24.95,3,701,558.99,355,-1
1,3,5,1.42804,70,6,101,1,2,30.04,3.8,163,128.02,38,1
1,2,2,0.976021,15,7,244.5,0,2,37.27,16.5,702,557.84,356,-1
1,1,1,0,7,0,80,0,1,49.26,1,164,128.49,71,-1
1,2,2,0.909736,148,52,100,0,3,10.39,6.5,165,128.52,72,1
1,1,1,0,3,0,198,0,1,14.03,1,166,129.35,73,-1
1,1,1,0,22,3,615,0,2,12.12,5,167,130.33,22,-1
2,2,3,1.58158,40,1,47,0,1,2.84,0.67,168,131.31,113,-1
1,2,3,1.57946,113,0,0,0,0,0,0,710,558.29,233,-1
1,3,4,1.84832,117,2,254.75,0,3,4.24,8.5,169,131.78,40,-1
1,5,6,2.41254,411,0,0,0,0,0,0,713,559.93,236,-1
1,3,6,2.22219,16,6,144.67,0,2,26.34,6,174,136.47,78,1
1,1,1,0,20,0,54,0,2,61.91,2,715,558.16,362,-1
1,2,2,0.981941,19,0,229.5,0,2,34.01,11,718,560.31,364,-1
1,1,2,0.980597,50,5,500,0,3,36.73,11.5,720,562.13,366,-1
1,1,1,0,1,1,76,0,2,21.27,2,722,563.98,240,-1
2,7,14,3.25215,432,2,22.79,0,3,12.17,1.79,724,565.81,611,-1
